Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Year
4.0,SS,Enzo Hernandez,27.0,113.0,389.0,340.0,31.0,87.0,13.0,3.0,1.0,24.0,12.0,7.0,32.0,16.0,0.256,0.319,0.321,0.64,89.0,109.0,5.0,0.0,16.0,1.0,4.0,1976
5.0,3B,Doug Rader,31.0,139.0,540.0,471.0,45.0,121.0,22.0,4.0,9.0,55.0,3.0,4.0,55.0,102.0,0.257,0.335,0.37799999999999995,0.7120000000000001,110.0,178.0,12.0,3.0,5.0,6.0,3.0,1976
6.0,LF,Jerry Turner*,22.0,105.0,320.0,281.0,41.0,75.0,16.0,5.0,5.0,37.0,12.0,6.0,32.0,38.0,0.267,0.33899999999999997,0.413,0.7509999999999999,121.0,116.0,3.0,0.0,4.0,3.0,3.0,1976
7.0,CF,Willie Davis*,36.0,141.0,522.0,493.0,61.0,132.0,18.0,10.0,5.0,46.0,14.0,2.0,19.0,34.0,0.268,0.295,0.375,0.67,97.0,185.0,6.0,2.0,3.0,5.0,2.0,1976
8.0,RF,Dave Winfield,24.0,137.0,567.0,492.0,81.0,139.0,26.0,4.0,13.0,69.0,26.0,7.0,65.0,78.0,0.28300000000000003,0.366,0.431,0.797,135.0,212.0,14.0,3.0,2.0,5.0,8.0,1976
1.0,C,Austin Hedges,24.0,120.0,417.0,387.0,36.0,83.0,17.0,0.0,18.0,55.0,4.0,1.0,23.0,122.0,0.214,0.262,0.39799999999999996,0.66,73.0,154.0,10.0,3.0,1.0,3.0,3.0,2017
2.0,1B,Wil Myers,26.0,155.0,649.0,567.0,80.0,138.0,29.0,3.0,30.0,74.0,20.0,6.0,70.0,180.0,0.243,0.32799999999999996,0.46399999999999997,0.792,109.0,263.0,15.0,5.0,0.0,7.0,3.0,2017
3.0,2B,Carlos Asuaje*,25.0,89.0,343.0,307.0,28.0,83.0,14.0,1.0,4.0,21.0,0.0,1.0,28.0,76.0,0.27,0.33399999999999996,0.36200000000000004,0.696,87.0,111.0,6.0,2.0,5.0,1.0,0.0,2017
4.0,SS,Erick Aybar#,33.0,108.0,370.0,333.0,37.0,78.0,15.0,1.0,7.0,22.0,11.0,4.0,28.0,57.0,0.23399999999999999,0.3,0.348,0.648,73.0,116.0,5.0,4.0,3.0,2.0,2.0,2017
5.0,3B,Cory Spangenberg*,26.0,129.0,486.0,444.0,57.0,117.0,18.0,2.0,13.0,46.0,11.0,3.0,34.0,128.0,0.264,0.322,0.401,0.723,92.0,178.0,2.0,5.0,2.0,1.0,1.0,2017
6.0,LF,Jose Pirela,27.0,83.0,344.0,312.0,43.0,90.0,25.0,4.0,10.0,40.0,4.0,3.0,27.0,71.0,0.28800000000000003,0.34700000000000003,0.49,0.8370000000000001,121.0,153.0,8.0,2.0,1.0,2.0,0.0,2017
7.0,CF,Manuel Margot,22.0,126.0,529.0,487.0,53.0,128.0,18.0,7.0,13.0,39.0,17.0,7.0,35.0,106.0,0.263,0.313,0.409,0.721,91.0,199.0,6.0,2.0,1.0,4.0,0.0,2017
8.0,RF,Hunter Renfroe,25.0,122.0,479.0,445.0,51.0,103.0,25.0,1.0,26.0,58.0,3.0,0.0,27.0,140.0,0.231,0.284,0.467,0.7509999999999999,96.0,208.0,4.0,6.0,0.0,1.0,1.0,2017
1.0,C,Austin Hedges,25.0,91.0,326.0,303.0,29.0,70.0,14.0,2.0,14.0,37.0,3.0,0.0,21.0,90.0,0.231,0.282,0.429,0.711,95.0,130.0,9.0,1.0,0.0,1.0,3.0,2018
